seed,agent_name,alpha,beta,gamma,num_jobs,steps_executed,completed_jobs,failed_jobs,completion_rate,value_weighted_completion_rate,uncapped_completion_rate,failure_rate,total_completed_value,total_job_value,total_compute_cost,avg_compute_cost_per_step,total_utility,completed_all_jobs,hit_step_budget
215,rl_v1_seed11,1.0,0.1,1.0,100,300,64,15,0.64,0.688,0.79,0.15,204.62,297.4,848.442,2.8281,104.7758,False,True
216,rl_v1_seed11,1.0,0.1,1.0,100,300,64,9,0.64,0.7194,0.84,0.09,200.28,278.41,858.23,2.8608,105.457,False,True
217,rl_v1_seed11,1.0,0.1,1.0,100,300,59,21,0.59,0.6465,0.78,0.21,203.94,315.43,1003.814,3.346,82.5586,False,True
218,rl_v1_seed11,1.0,0.1,1.0,100,300,60,16,0.6,0.6529,0.77,0.16,191.14,292.77,1096.96,3.6565,65.444,False,True
219,rl_v1_seed11,1.0,0.1,1.0,100,300,63,16,0.63,0.699,0.79,0.16,216.39,309.57,851.468,2.8382,115.2432,False,True
220,rl_v1_seed11,1.0,0.1,1.0,100,300,67,11,0.67,0.7367,0.85,0.11,220.5,299.31,527.778,1.7593,156.7222,False,True
221,rl_v1_seed11,1.0,0.1,1.0,100,300,60,24,0.6,0.6462,0.74,0.24,197.56,305.74,652.54,2.1751,108.306,False,True
222,rl_v1_seed11,1.0,0.1,1.0,100,300,63,17,0.63,0.6868,0.78,0.17,204.14,297.23,797.266,2.6576,107.4134,False,True
223,rl_v1_seed11,1.0,0.1,1.0,100,300,56,23,0.56,0.6434,0.76,0.23,185.21,287.84,629.972,2.0999,99.2128,False,True
224,rl_v1_seed11,1.0,0.1,1.0,100,300,60,16,0.6,0.6812,0.79,0.16,189.53,278.21,1132.682,3.7756,60.2618,False,True
225,rl_v1_seed11,1.0,0.1,1.0,100,300,64,18,0.64,0.6844,0.8,0.18,193.73,283.06,947.854,3.1595,80.9446,False,True
226,rl_v1_seed11,1.0,0.1,1.0,100,300,63,12,0.63,0.7048,0.84,0.12,215.33,305.5,991.498,3.305,104.1802,False,True
227,rl_v1_seed11,1.0,0.1,1.0,100,300,67,10,0.67,0.7588,0.89,0.1,223.65,294.73,934.784,3.1159,120.1716,False,True
228,rl_v1_seed11,1.0,0.1,1.0,100,300,71,8,0.71,0.7705,0.91,0.08,218.93,284.13,770.356,2.5679,133.8944,False,True
229,rl_v1_seed11,1.0,0.1,1.0,100,300,63,16,0.63,0.688,0.8,0.16,194.59,282.83,542.044,1.8068,124.3856,False,True
230,rl_v1_seed11,1.0,0.1,1.0,100,300,62,20,0.62,0.6464,0.78,0.2,187.43,289.95,437.118,1.4571,123.7182,False,True
231,rl_v1_seed11,1.0,0.1,1.0,100,300,59,19,0.59,0.6195,0.78,0.19,183.51,296.21,602.216,2.0074,104.2884,False,True
232,rl_v1_seed11,1.0,0.1,1.0,100,300,62,15,0.62,0.7014,0.79,0.15,210.35,299.92,660.588,2.202,129.2912,False,True
233,rl_v1_seed11,1.0,0.1,1.0,100,300,64,9,0.64,0.7173,0.86,0.09,205.95,287.1,667.772,2.2259,130.1728,False,True
234,rl_v1_seed11,1.0,0.1,1.0,100,300,66,9,0.66,0.7368,0.87,0.09,225.58,306.17,814.556,2.7152,135.1244,False,True
235,rl_v1_seed11,1.0,0.1,1.0,100,300,68,11,0.68,0.7706,0.85,0.11,234.67,304.52,535.602,1.7853,170.1098,False,True
236,rl_v1_seed11,1.0,0.1,1.0,100,300,60,14,0.6,0.6697,0.81,0.14,207.16,309.34,506.27,1.6876,142.533,False,True
237,rl_v1_seed11,1.0,0.1,1.0,100,300,62,13,0.62,0.7072,0.82,0.13,219.53,310.4,997.432,3.3248,106.7868,False,True
238,rl_v1_seed11,1.0,0.1,1.0,100,300,62,15,0.62,0.6917,0.76,0.15,203.95,294.87,1116.696,3.7223,77.2804,False,True
239,rl_v1_seed11,1.0,0.1,1.0,100,300,59,19,0.59,0.6377,0.76,0.19,184.82,289.82,535.026,1.7834,112.3174,False,True
240,rl_v1_seed11,1.0,0.1,1.0,100,300,64,13,0.64,0.7168,0.85,0.13,224.83,313.66,1086.314,3.621,103.1986,False,True
241,rl_v1_seed11,1.0,0.1,1.0,100,300,58,22,0.58,0.637,0.73,0.22,189.38,297.32,860.188,2.8673,81.3612,False,True
242,rl_v1_seed11,1.0,0.1,1.0,100,300,66,7,0.66,0.746,0.82,0.07,212.05,284.26,1088.77,3.6292,96.173,False,True
243,rl_v1_seed11,1.0,0.1,1.0,100,300,66,13,0.66,0.7039,0.84,0.13,199.35,283.2,1100.796,3.6693,76.2704,False,True
244,rl_v1_seed11,1.0,0.1,1.0,100,300,63,15,0.63,0.7016,0.81,0.15,203.69,290.33,446.324,1.4877,144.0576,False,True
245,rl_v1_seed11,1.0,0.1,1.0,100,300,63,11,0.63,0.6789,0.8,0.11,197.35,290.7,495.658,1.6522,136.7842,False,True
246,rl_v1_seed11,1.0,0.1,1.0,100,300,64,11,0.64,0.7043,0.83,0.11,215.45,305.91,650.736,2.1691,139.3764,False,True
247,rl_v1_seed11,1.0,0.1,1.0,100,300,60,23,0.6,0.6333,0.74,0.23,186.49,294.48,703.43,2.3448,93.147,False,True
248,rl_v1_seed11,1.0,0.1,1.0,100,300,64,12,0.64,0.6989,0.85,0.12,207.38,296.71,761.838,2.5395,119.1962,False,True
249,rl_v1_seed11,1.0,0.1,1.0,100,300,66,14,0.66,0.718,0.82,0.14,202.3,281.75,788.93,2.6298,109.407,False,True
200,rl_v1_seed13,1.0,0.1,1.0,100,300,55,23,0.55,0.5965,0.69,0.23,175.74,294.61,298.144,0.9938,122.9256,False,True
201,rl_v1_seed13,1.0,0.1,1.0,100,300,67,12,0.67,0.741,0.84,0.12,230.12,310.54,1018.842,3.3961,116.2358,False,True
202,rl_v1_seed13,1.0,0.1,1.0,100,300,67,11,0.67,0.7533,0.82,0.11,227.91,302.55,1210.668,4.0356,95.8432,False,True
203,rl_v1_seed13,1.0,0.1,1.0,100,300,64,16,0.64,0.7174,0.81,0.16,217.3,302.92,662.348,2.2078,135.0652,False,True
204,rl_v1_seed13,1.0,0.1,1.0,100,300,63,16,0.63,0.7053,0.81,0.16,214.64,304.32,740.452,2.4682,124.5948,False,True
205,rl_v1_seed13,1.0,0.1,1.0,100,300,55,23,0.55,0.5662,0.72,0.23,155.85,275.26,712.598,2.3753,61.5902,False,True
206,rl_v1_seed13,1.0,0.1,1.0,100,300,61,15,0.61,0.6655,0.79,0.15,204.27,306.93,826.682,2.7556,106.6018,False,True
207,rl_v1_seed13,1.0,0.1,1.0,100,300,63,13,0.63,0.7123,0.84,0.13,207.75,291.65,686.358,2.2879,126.1142,False,True
208,rl_v1_seed13,1.0,0.1,1.0,100,300,62,10,0.62,0.6542,0.81,0.1,189.83,290.15,1153.122,3.8437,64.5178,False,True
209,rl_v1_seed13,1.0,0.1,1.0,100,300,62,19,0.62,0.665,0.77,0.19,197.47,296.95,561.366,1.8712,122.3334,False,True
210,rl_v1_seed13,1.0,0.1,1.0,100,300,68,13,0.68,0.762,0.85,0.13,227.71,298.82,1009.188,3.364,113.7912,False,True
211,rl_v1_seed13,1.0,0.1,1.0,100,300,64,16,0.64,0.7179,0.79,0.16,217.79,303.36,501.824,1.6727,151.6076,False,True
212,rl_v1_seed13,1.0,0.1,1.0,100,300,63,20,0.63,0.6788,0.77,0.2,201.41,296.7,1026.852,3.4228,78.7248,False,True
213,rl_v1_seed13,1.0,0.1,1.0,100,300,68,14,0.68,0.7519,0.84,0.14,238.88,317.69,868.23,2.8941,138.057,False,True
214,rl_v1_seed13,1.0,0.1,1.0,100,300,61,19,0.61,0.6444,0.78,0.19,196.76,305.35,591.804,1.9727,118.5796,False,True
215,rl_v1_seed13,1.0,0.1,1.0,100,300,64,15,0.64,0.688,0.79,0.15,204.62,297.4,848.442,2.8281,104.7758,False,True
216,rl_v1_seed13,1.0,0.1,1.0,100,300,64,9,0.64,0.7194,0.84,0.09,200.28,278.41,858.23,2.8608,105.457,False,True
217,rl_v1_seed13,1.0,0.1,1.0,100,300,59,21,0.59,0.6465,0.78,0.21,203.94,315.43,1003.814,3.346,82.5586,False,True
218,rl_v1_seed13,1.0,0.1,1.0,100,300,60,16,0.6,0.6529,0.77,0.16,191.14,292.77,1096.96,3.6565,65.444,False,True
219,rl_v1_seed13,1.0,0.1,1.0,100,300,63,16,0.63,0.699,0.79,0.16,216.39,309.57,851.468,2.8382,115.2432,False,True
220,rl_v1_seed13,1.0,0.1,1.0,100,300,67,11,0.67,0.7367,0.85,0.11,220.5,299.31,527.778,1.7593,156.7222,False,True
221,rl_v1_seed13,1.0,0.1,1.0,100,300,60,24,0.6,0.6462,0.74,0.24,197.56,305.74,652.54,2.1751,108.306,False,True
222,rl_v1_seed13,1.0,0.1,1.0,100,300,63,17,0.63,0.6868,0.78,0.17,204.14,297.23,797.266,2.6576,107.4134,False,True
223,rl_v1_seed13,1.0,0.1,1.0,100,300,56,23,0.56,0.6434,0.76,0.23,185.21,287.84,629.972,2.0999,99.2128,False,True
224,rl_v1_seed13,1.0,0.1,1.0,100,300,60,16,0.6,0.6812,0.79,0.16,189.53,278.21,1132.682,3.7756,60.2618,False,True
225,rl_v1_seed13,1.0,0.1,1.0,100,300,64,18,0.64,0.6844,0.8,0.18,193.73,283.06,947.854,3.1595,80.9446,False,True
226,rl_v1_seed13,1.0,0.1,1.0,100,300,63,12,0.63,0.7048,0.84,0.12,215.33,305.5,991.498,3.305,104.1802,False,True
227,rl_v1_seed13,1.0,0.1,1.0,100,300,67,10,0.67,0.7588,0.89,0.1,223.65,294.73,934.784,3.1159,120.1716,False,True
228,rl_v1_seed13,1.0,0.1,1.0,100,300,71,8,0.71,0.7705,0.91,0.08,218.93,284.13,770.356,2.5679,133.8944,False,True
229,rl_v1_seed13,1.0,0.1,1.0,100,300,63,16,0.63,0.688,0.8,0.16,194.59,282.83,542.044,1.8068,124.3856,False,True
230,rl_v1_seed13,1.0,0.1,1.0,100,300,62,20,0.62,0.6464,0.78,0.2,187.43,289.95,437.118,1.4571,123.7182,False,True
231,rl_v1_seed13,1.0,0.1,1.0,100,300,59,19,0.59,0.6195,0.78,0.19,183.51,296.21,602.216,2.0074,104.2884,False,True
232,rl_v1_seed13,1.0,0.1,1.0,100,300,62,15,0.62,0.7014,0.79,0.15,210.35,299.92,660.588,2.202,129.2912,False,True
233,rl_v1_seed13,1.0,0.1,1.0,100,300,64,9,0.64,0.7173,0.86,0.09,205.95,287.1,667.772,2.2259,130.1728,False,True
234,rl_v1_seed13,1.0,0.1,1.0,100,300,66,9,0.66,0.7368,0.87,0.09,225.58,306.17,814.556,2.7152,135.1244,False,True
235,rl_v1_seed13,1.0,0.1,1.0,100,300,68,11,0.68,0.7706,0.85,0.11,234.67,304.52,535.602,1.7853,170.1098,False,True
236,rl_v1_seed13,1.0,0.1,1.0,100,300,60,14,0.6,0.6697,0.81,0.14,207.16,309.34,506.27,1.6876,142.533,False,True
237,rl_v1_seed13,1.0,0.1,1.0,100,300,62,13,0.62,0.7072,0.82,0.13,219.53,310.4,997.432,3.3248,106.7868,False,True
238,rl_v1_seed13,1.0,0.1,1.0,100,300,62,15,0.62,0.6917,0.76,0.15,203.95,294.87,1116.696,3.7223,77.2804,False,True
239,rl_v1_seed13,1.0,0.1,1.0,100,300,59,19,0.59,0.6377,0.76,0.19,184.82,289.82,535.026,1.7834,112.3174,False,True
240,rl_v1_seed13,1.0,0.1,1.0,100,300,64,13,0.64,0.7168,0.85,0.13,224.83,313.66,1086.314,3.621,103.1986,False,True
241,rl_v1_seed13,1.0,0.1,1.0,100,300,58,22,0.58,0.637,0.73,0.22,189.38,297.32,860.188,2.8673,81.3612,False,True
242,rl_v1_seed13,1.0,0.1,1.0,100,300,66,7,0.66,0.746,0.82,0.07,212.05,284.26,1088.77,3.6292,96.173,False,True
243,rl_v1_seed13,1.0,0.1,1.0,100,300,66,13,0.66,0.7039,0.84,0.13,199.35,283.2,1100.796,3.6693,76.2704,False,True
244,rl_v1_seed13,1.0,0.1,1.0,100,300,63,15,0.63,0.7016,0.81,0.15,203.69,290.33,446.324,1.4877,144.0576,False,True
245,rl_v1_seed13,1.0,0.1,1.0,100,300,63,11,0.63,0.6789,0.8,0.11,197.35,290.7,495.658,1.6522,136.7842,False,True
246,rl_v1_seed13,1.0,0.1,1.0,100,300,64,11,0.64,0.7043,0.83,0.11,215.45,305.91,650.736,2.1691,139.3764,False,True
247,rl_v1_seed13,1.0,0.1,1.0,100,300,60,23,0.6,0.6333,0.74,0.23,186.49,294.48,703.43,2.3448,93.147,False,True
248,rl_v1_seed13,1.0,0.1,1.0,100,300,64,12,0.64,0.6989,0.85,0.12,207.38,296.71,761.838,2.5395,119.1962,False,True
249,rl_v1_seed13,1.0,0.1,1.0,100,300,66,14,0.66,0.718,0.82,0.14,202.3,281.75,788.93,2.6298,109.407,False,True
